DATETIME,LATITUDE,LONGITUDE
2022-01-10 15:46:57,41.54798475,-70.6109905
2022-01-10 15:47:14,41.547995166666695,-70.61099293333336
2022-01-10 15:47:44,41.548003000000016,-70.61100000000005
2022-01-10 15:48:14,41.548003000000016,-70.61100200000004
2022-01-10 15:48:44,41.54800366666668,-70.61100273333334
2022-01-10 15:49:14,41.54800500000001,-70.61100453333331
2022-01-10 15:49:44,41.54800500000001,-70.61100573333331
2022-01-10 15:50:14,41.54800500000001,-70.61100699999999
2022-01-10 15:50:44,41.54800500000001,-70.61100770000003
2022-01-10 15:51:14,41.54800500000001,-70.61100826666669
2022-01-10 15:51:44,41.54800500000001,-70.61101000000002
2022-01-10 15:52:14,41.54800500000001,-70.61101200000003
2022-01-10 15:52:44,41.54800500000001,-70.61101306666664
2022-01-10 15:53:14,41.54800500000001,-70.61101499999997
2022-01-10 15:53:44,41.54800500000001,-70.61101659999996
2022-01-10 15:54:14,41.54800553333335,-70.61101840000005
2022-01-10 15:54:44,41.548007000000005,-70.61102093333336
2022-01-10 15:55:14,41.548007000000005,-70.61102336666664
2022-01-10 15:55:44,41.54800736666665,-70.61102613333331
2022-01-10 15:56:14,41.54800799999999,-70.61102880000001
2022-01-10 15:56:37,41.54800825,-70.61103087500001
2022-01-10 15:56:52,41.54800999999999,-70.61103200000001
2022-01-10 15:57:14,41.548009999999984,-70.61103286666663
2022-01-10 15:57:44,41.548009999999984,-70.61103319999997
2022-01-10 15:58:14,41.54800913333332,-70.61103499999996
2022-01-10 15:58:44,41.54800799999999,-70.61103599999996
2022-01-10 15:59:14,41.54800799999999,-70.61103753333333
2022-01-10 15:59:44,41.54800799999999,-70.61103946666665
2022-01-10 16:00:14,41.54800799999999,-70.61104146666666
2022-01-10 16:00:44,41.54800799999999,-70.61104480000004
2022-01-10 16:01:14,41.54800799999999,-70.6110475
2022-01-10 16:01:44,41.54800799999999,-70.61104986666666
2022-01-10 16:02:14,41.54800799999999,-70.61105199999999
2022-01-10 16:02:44,41.54800799999999,-70.61105263333337
2022-01-10 16:03:14,41.54800799999999,-70.61105380000002
2022-01-10 16:03:44,41.54800799999999,-70.61105630000002
2022-01-10 16:04:14,41.54800799999999,-70.6110593333333
2022-01-10 16:04:44,41.54800783333333,-70.61106193333332
2022-01-10 16:05:14,41.54800713333334,-70.6110638666667
2022-01-10 16:05:44,41.548007000000005,-70.61106606666671
2022-01-10 16:06:14,41.548007000000005,-70.61106816666664
2022-01-10 16:06:38,41.54800688235293,-70.61107000000001
2022-01-10 16:06:53,41.548005,-70.61107000000001
2022-01-10 16:07:14,41.54800533333334,-70.61107146666663
2022-01-10 16:07:44,41.548007000000005,-70.61107266666667
2022-01-10 16:08:14,41.548007000000005,-70.61107300000002
2022-01-10 16:08:44,41.54800693333334,-70.61107300000002
2022-01-10 16:09:14,41.54800500000001,-70.61107300000002
2022-01-10 16:09:44,41.54800500000001,-70.61107366666668
2022-01-10 16:10:14,41.54800500000001,-70.61107500000001
2022-01-10 16:10:44,41.54800500000001,-70.61107500000001
2022-01-10 16:11:14,41.54800500000001,-70.61107500000001
2022-01-10 16:11:44,41.54800500000001,-70.61107500000001
2022-01-10 16:12:14,41.54800453333335,-70.61107500000001
2022-01-10 16:12:44,41.548003000000016,-70.61107680000002
2022-01-10 16:13:14,41.548003000000016,-70.61107700000001
2022-01-10 16:13:44,41.548003000000016,-70.61107700000001
2022-01-10 16:14:14,41.548003000000016,-70.61107796666663
2022-01-10 16:14:44,41.5480022,-70.6110818
2022-01-10 16:15:14,41.54800186666667,-70.611083
2022-01-10 16:15:44,41.548,-70.611083
2022-01-10 16:16:14,41.548,-70.61108346666667
2022-01-10 16:16:38,41.548,-70.611085
2022-01-10 16:16:53,41.548,-70.611085
2022-01-10 16:17:14,41.548,-70.61108513333333
2022-01-10 16:17:44,41.548,-70.611087
2022-01-10 16:18:14,41.548,-70.611087
2022-01-10 16:18:44,41.548,-70.61108723333334
2022-01-10 16:19:14,41.54800166666666,-70.61108786666672
2022-01-10 16:19:41,41.548002,-70.61108800000004
2022-01-10 16:19:56,41.548002,-70.611088
2022-01-10 16:20:14,41.548002,-70.61108800000005
2022-01-10 16:20:44,41.548002,-70.61108800000005
2022-01-10 16:21:14,41.548002,-70.61108756666665
2022-01-10 16:21:44,41.548002,-70.611087
2022-01-10 16:22:14,41.548002,-70.611087
2022-01-10 16:22:44,41.548002,-70.6110866
2022-01-10 16:23:14,41.54800280000002,-70.611085
2022-01-10 16:23:44,41.5480025,-70.61108486666667
2022-01-10 16:24:14,41.548002,-70.611083
2022-01-10 16:24:44,41.548002,-70.61108226666663
2022-01-10 16:25:14,41.548002,-70.61108199999995
2022-01-10 16:25:44,41.548002,-70.61108033333329
2022-01-10 16:26:14,41.548002,-70.61107999999996
2022-01-10 16:26:38,41.548002,-70.61108
2022-01-10 16:26:53,41.548002,-70.61108
2022-01-10 16:27:14,41.548002,-70.61107999999996
2022-01-10 16:27:44,41.548002,-70.61107999999996
2022-01-10 16:28:14,41.5480014,-70.61108026666663
2022-01-10 16:28:44,41.548,-70.61108199999995
2022-01-10 16:29:14,41.548,-70.61108199999995
2022-01-10 16:29:44,41.548,-70.61108199999995
2022-01-10 16:30:14,41.54799953333334,-70.61108250000001
2022-01-10 16:30:44,41.547998,-70.611083
2022-01-10 16:31:14,41.54799746666665,-70.611083
2022-01-10 16:31:44,41.54799699999999,-70.61108293333334
2022-01-10 16:32:14,41.54799506666666,-70.61108199999995
2022-01-10 16:32:44,41.54799446666666,-70.61108199999995
