Probe Type,Moana
Serial Number,0057
Vessel Number,5
Vessel Name,Default_setup
Date Format,YYYY-MM-DD
Time Format,HH24:MI:SS
Temperature,C
Depth,m
HEADING,datet(GMT),lat,lon,Temperature (C),Depth (m)
DATA,2022-01-19 19:31:45,41.547989,-70.611103,24.9,0.9
DATA,2022-01-19 19:31:51,41.547989,-70.611103,21.0,2.1
DATA,2022-01-19 19:36:51,41.547989,-70.611103,20.0,2.3
DATA,2022-01-19 19:41:51,41.547989,-70.611103,19.7,2.4
DATA,2022-01-19 19:46:51,41.547989,-70.611103,19.5,2.5
DATA,2022-01-19 19:51:51,41.547989,-70.611103,19.3,2.4
DATA,2022-01-19 19:56:51,41.547989,-70.611103,19.0,2.5
DATA,2022-01-19 20:01:51,41.547989,-70.611103,18.8,2.5
DATA,2022-01-19 20:06:29,41.547989,-70.611103,21.2,1.4
DATA,2022-01-19 20:06:32,41.547989,-70.611103,27.9,0.3
