Probe Type,Moana
Serial Number,0057
Vessel Number,5
Vessel Name,Default_setup
Date Format,YYYY-MM-DD
Time Format,HH24:MI:SS
Temperature,C
Depth,m
HEADING,datet(GMT),lat,lon,Temperature (C),Depth (m)
DATA,2022-01-10 15:47:08,41.547998,-70.61104,4.1,1.1
DATA,2022-01-10 15:47:11,41.547998,-70.61104,3.6,2.2
DATA,2022-01-10 15:52:11,41.547998,-70.61104,5.0,3.0
DATA,2022-01-10 15:57:11,41.547998,-70.61104,4.9,3.0
DATA,2022-01-10 16:02:11,41.547998,-70.61104,4.8,3.1
DATA,2022-01-10 16:07:11,41.547998,-70.61104,4.7,3.0
DATA,2022-01-10 16:12:11,41.547998,-70.61104,4.7,2.9
DATA,2022-01-10 16:17:11,41.547998,-70.61104,4.6,2.9
DATA,2022-01-10 16:19:38,41.547998,-70.61104,3.6,1.8
