Probe Type,Moana
Serial Number,0057
Vessel Number,5
Vessel Name,Default_setup
Date Format,YYYY-MM-DD
Time Format,HH24:MI:SS
Temperature,C
Depth,m
HEADING,datet(GMT),lat,lon,Temperature (C),Depth (m)
DATA,2022-01-04 17:52:21,41.548003,-70.611094,0.1,1.0
DATA,2022-01-04 17:52:24,41.548003,-70.611094,0.0,2.1
DATA,2022-01-04 17:57:24,41.548003,-70.611094,1.1,2.9
DATA,2022-01-04 18:02:24,41.548003,-70.611094,1.1,2.9
DATA,2022-01-04 18:07:24,41.548003,-70.611094,1.1,2.9
DATA,2022-01-04 18:12:24,41.548003,-70.611094,1.1,2.8
DATA,2022-01-04 18:15:17,41.548003,-70.611094,0.0,1.2
