Download Time,09/12/2021 19:12:06
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.58
Max Lifetime Depth (dBar),233.0
Baseline(mBar),991
Date,Time,Depth Decibar,Temperature C
2021-12-09,17:46:03,0.5,8.612
2021-12-09,17:46:06,1.7,6.048
2021-12-09,17:46:36,2.7,4.435
2021-12-09,17:51:36,2.8,6.095
2021-12-09,17:56:36,2.8,5.477
2021-12-09,18:01:36,2.8,5.142
2021-12-09,18:06:36,2.7,4.967
2021-12-09,18:11:36,2.7,4.838
2021-12-09,18:16:36,2.8,4.744
2021-12-09,18:21:36,2.7,4.668
2021-12-09,18:26:36,2.7,4.616
2021-12-09,18:31:36,2.7,4.574
2021-12-09,18:36:36,2.7,4.543
2021-12-09,18:41:36,2.6,4.512
2021-12-09,18:46:36,2.8,4.488
2021-12-09,18:51:36,2.7,4.466
2021-12-09,18:51:55,1.3,4.883
2021-12-09,18:51:58,0.1,6.318
