Download Time,19/01/2022 20:07:20
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.62
Max Lifetime Depth (dBar),233.0
Baseline(mBar),955
Date,Time,Depth Decibar,Temperature C
2022-01-19,19:31:45,0.9,24.876
2022-01-19,19:31:51,2.1,20.984
2022-01-19,19:36:51,2.3,20.018
2022-01-19,19:41:51,2.4,19.747
2022-01-19,19:46:51,2.5,19.486
2022-01-19,19:51:51,2.4,19.251
2022-01-19,19:56:51,2.5,19.037
2022-01-19,20:01:51,2.5,18.841
2022-01-19,20:06:29,1.4,21.235
2022-01-19,20:06:32,0.3,27.875
