Download Time,24/01/2022 19:36:05
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.54
Max Lifetime Depth (dBar),233.0
Baseline(mBar),934
Date,Time,Depth Decibar,Temperature C
2022-01-24,19:15:29,25.9,8.376
2022-01-24,19:15:31,24.7,8.369
2022-01-24,19:15:33,23.2,8.338
2022-01-24,19:15:35,21.6,8.294
2022-01-24,19:15:37,20.3,8.295
2022-01-24,19:15:40,18.8,8.302
2022-01-24,19:15:42,17.3,8.242
2022-01-24,19:15:44,16.3,8.146
2022-01-24,19:15:46,14.9,8.100
2022-01-24,19:15:48,13.9,8.070
2022-01-24,19:15:50,12.4,8.011
2022-01-24,19:15:52,11.3,7.959
2022-01-24,19:15:54,10.3,7.900
2022-01-24,19:15:56,8.8,7.839
2022-01-24,19:15:58,7.7,7.783
2022-01-24,19:16:00,6.5,7.761
2022-01-24,19:16:02,5.0,7.763
2022-01-24,19:16:04,3.8,7.759
2022-01-24,19:16:06,2.6,7.750
2022-01-24,19:16:09,1.1,7.744
2022-01-24,19:16:12,0.0,7.736
