Download Time,24/01/2022 21:21:43
Moana Serial Number,57
Moana Firmware,MOANA-1.21
Protocol Version,2
Moana calibration date,29/05/2021
Reset Codes, 0x200104
Moana Battery (V),3.54
Max Lifetime Depth (dBar),233.0
Baseline(mBar),971
Date,Time,Depth Decibar,Temperature C
2022-01-24,20:21:53,0.7,6.407
2022-01-24,20:21:54,1.8,7.148
2022-01-24,20:21:55,3.0,7.350
2022-01-24,20:21:56,4.4,7.438
2022-01-24,20:21:57,5.7,7.486
2022-01-24,20:21:58,7.1,7.537
2022-01-24,20:21:59,8.6,7.565
2022-01-24,20:22:00,9.8,7.602
2022-01-24,20:22:01,11.1,7.621
2022-01-24,20:22:02,12.3,7.626
2022-01-24,20:22:03,13.7,7.638
2022-01-24,20:22:05,16.2,7.719
2022-01-24,20:22:06,17.5,7.712
2022-01-24,20:22:07,18.9,7.718
2022-01-24,20:22:08,20.0,7.768
2022-01-24,20:22:09,21.4,7.811
2022-01-24,20:22:10,22.5,7.827
2022-01-24,20:22:11,23.8,7.860
2022-01-24,20:22:12,24.9,7.927
2022-01-24,20:22:13,26.0,8.032
2022-01-24,20:22:14,27.1,8.166
2022-01-24,20:22:15,28.2,8.251
2022-01-24,20:22:16,29.3,8.336
2022-01-24,20:22:17,30.4,8.358
2022-01-24,20:22:18,31.5,8.366
2022-01-24,20:22:19,32.6,8.376
2022-01-24,20:22:20,33.6,8.379
2022-01-24,20:22:22,35.6,8.380
2022-01-24,20:22:24,37.3,8.376
2022-01-24,20:22:43,35.8,8.363
2022-01-24,20:22:46,34.1,8.374
2022-01-24,20:22:48,32.6,8.378
2022-01-24,20:22:51,30.9,8.376
2022-01-24,20:22:53,29.7,8.372
2022-01-24,20:22:56,28.4,8.373
2022-01-24,20:22:58,27.4,8.359
2022-01-24,20:23:00,25.8,8.228
2022-01-24,20:23:03,24.3,8.106
2022-01-24,20:23:06,23.0,7.976
2022-01-24,20:23:11,21.5,7.894
2022-01-24,20:23:13,20.3,7.845
2022-01-24,20:23:15,19.1,7.831
2022-01-24,20:23:18,17.6,7.807
2022-01-24,20:23:20,16.4,7.768
2022-01-24,20:23:23,14.8,7.737
2022-01-24,20:23:27,13.4,7.719
2022-01-24,20:23:30,12.0,7.681
2022-01-24,20:23:32,10.5,7.665
2022-01-24,20:23:34,9.3,7.652
2022-01-24,20:23:36,8.0,7.637
2022-01-24,20:23:39,6.2,7.615
2022-01-24,20:23:41,4.3,7.610
2022-01-24,20:23:43,3.1,7.600
2022-01-24,20:23:46,1.1,7.587
2022-01-24,20:23:48,-0.1,7.566
