Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
1/24/2022 7:08:34,30.39269066,4.002716064,15.67015266,5.537652969,5.49249506,32.43167496,1463.419678,50743.12109,25.76913343
1/24/2022 7:08:34,30.39068604,4.003936768,15.80622292,5.673723221,5.627455711,32.42802811,1463.422241,50737.80469,25.76675079
1/24/2022 7:08:34,30.38991928,4.004394531,15.93694782,5.804448128,5.75711441,32.4265976,1463.424438,50735.78516,25.76617991
1/24/2022 7:08:34,30.39571381,4.001831055,16.07272148,5.940221786,5.891780853,32.43590927,1463.427979,50749.60156,25.77446858
1/24/2022 7:08:34,30.39792061,4.000579834,16.19849014,6.065990448,6.016524315,32.43968582,1463.429443,50755.31641,25.77818158
1/24/2022 7:08:34,30.39392471,3.999389648,16.30537796,6.172878265,6.122540474,32.43610001,1463.421753,50750.5625,25.77594752
1/24/2022 7:08:34,30.39392853,3.994995117,16.41891479,6.2864151,6.235151291,32.44039536,1463.410522,50757.6875,25.78032403
1/24/2022 7:08:35,30.41149712,3.990081787,16.53123474,6.398735046,6.346555233,32.46595383,1463.424805,50794.99219,25.80164956
1/24/2022 7:08:35,30.40644455,3.989105225,16.64837074,6.515871048,6.46273613,32.46089935,1463.416138,50788.13281,25.79827472
1/24/2022 7:08:35,30.39499092,3.987701416,16.77659607,6.644096375,6.589915752,32.44869995,1463.396484,50771.27344,25.78931342
1/24/2022 7:08:35,30.41046906,3.996185303,16.90130234,6.768802643,6.713604927,32.45849991,1463.446655,50783.38672,25.79685532
1/24/2022 7:08:35,30.4136982,3.995574951,17.02180099,6.8893013,6.8331213,32.46284485,1463.451782,50789.76172,25.8009327
1/24/2022 7:08:35,30.41286087,3.997680664,17.12886429,6.996364594,6.939311504,32.4597168,1463.458252,50784.95313,25.79873988
1/24/2022 7:08:35,30.41647339,4.00189209,17.24188995,7.109390259,7.051415443,32.4597435,1463.477783,50784.16797,25.79887604
1/24/2022 7:08:35,30.4127903,4.002716064,17.34703445,7.21453476,7.155702591,32.45452881,1463.476318,50776.67969,25.79514126
1/24/2022 7:08:35,30.40970039,4.004119873,17.44499969,7.3125,7.252868652,32.44943237,1463.477295,50769.25391,25.79141
1/24/2022 7:08:36,30.40936279,4.006134033,17.54633713,7.413837433,7.353379726,32.44698715,1463.484131,50765.42969,25.78974213
1/24/2022 7:08:36,30.4078598,4.007537842,17.6466713,7.5141716,7.452895641,32.44378281,1463.487671,50760.64844,25.78752605
1/24/2022 7:08:36,30.42020607,4.002166748,17.74212265,7.609622955,7.547568798,32.46361542,1463.492065,50789.95313,25.80426572
1/24/2022 7:08:36,30.43669891,4.000183105,17.85301018,7.720510483,7.657552242,32.48499298,1463.513184,50820.70313,25.82197324
1/24/2022 7:08:36,30.44398117,3.997436523,17.96320915,7.830709457,7.766852379,32.49625778,1463.517822,50837.3125,25.83171347
1/24/2022 7:08:36,30.44813156,4.004333496,18.07585907,7.943359375,7.878583431,32.4942627,1463.546021,50833.0625,25.82997599
1/24/2022 7:08:36,30.45030403,4.005065918,18.19484711,8.062347412,7.996601582,32.49603271,1463.553467,50835.50781,25.83186726
1/24/2022 7:08:36,30.45178986,4.003082275,18.31087875,8.178379059,8.111686707,32.49969101,1463.551758,50841.20313,25.83551297
1/24/2022 7:08:37,30.45401955,4.005432129,18.42100334,8.288503647,8.220912933,32.49993134,1463.563599,50841.11328,25.83598764
1/24/2022 7:08:37,30.45547676,4.011230469,18.52532959,8.392829895,8.324388504,32.49584579,1463.584351,50834.14844,25.83265686
1/24/2022 7:08:37,30.45656586,4.007568359,18.63354492,8.501045227,8.431721687,32.50070572,1463.576904,50841.90625,25.83738656
1/24/2022 7:08:37,30.44818687,4.012145996,18.71318436,8.580684662,8.51071167,32.48624039,1463.578857,50820.5,25.8258093
1/24/2022 7:08:37,30.44637871,4.011962891,18.78442001,8.651920319,8.581366539,32.4842453,1463.576538,50817.77734,25.82457439
1/24/2022 7:08:37,30.45988083,4.011962891,18.87849808,8.745998383,8.674677849,32.50012589,1463.598511,50840.31641,25.83763799
1/24/2022 7:08:37,30.46515274,4.010284424,18.98847771,8.855978012,8.783760071,32.50796509,1463.603516,50851.83594,25.84454899
1/24/2022 7:08:37,30.46408272,4.010467529,19.10549927,8.972999573,8.899827003,32.50645447,1463.604126,50849.75,25.84387714
1/24/2022 7:08:38,30.46072006,4.008026123,19.21250343,9.080003738,9.005959511,32.50485229,1463.593628,50848.09375,25.84334413
1/24/2022 7:08:38,30.46008301,4.006347656,19.32745743,9.194957733,9.119976044,32.5057106,1463.5896,50849.75,25.84472904
1/24/2022 7:08:38,30.4587059,4.007568359,19.42338181,9.290882111,9.215117455,32.50281906,1463.592529,50845.47656,25.84275868
1/24/2022 7:08:38,30.46471214,4.007781982,19.52151299,9.38901329,9.312448502,32.50964737,1463.603882,50855.16016,25.8486244
1/24/2022 7:08:38,30.46964073,4.006896973,19.63005447,9.497554779,9.42010498,32.51628876,1463.610596,50864.81641,25.8544984
1/24/2022 7:08:38,30.47032356,4.008209229,19.73789978,9.605400085,9.527070999,32.51573944,1463.616943,50863.82813,25.85443658
1/24/2022 7:08:38,30.46642876,4.008728027,19.82939529,9.696895599,9.61782074,32.51058197,1463.614014,50856.48828,25.85071334
1/24/2022 7:08:38,30.46665382,4.010375977,19.92050171,9.788002014,9.708184242,32.5091629,1463.620728,50854.19141,25.84984881
1/24/2022 7:08:39,30.46594238,4.014923096,19.99051285,9.858013153,9.77762413,32.50377274,1463.633911,50845.62891,25.84544326
1/24/2022 7:08:39,30.47258759,4.015380859,20.07107353,9.938573837,9.857527733,32.51111603,1463.646606,50855.98047,25.85161193
1/24/2022 7:08:39,30.47303581,4.012329102,20.14796448,10.01546478,9.933792114,32.51463318,1463.639648,50861.67188,25.855068
1/24/2022 7:08:39,30.47623253,4.012023926,20.2277565,10.09525681,10.01293278,32.51866531,1463.644775,50867.50781,25.85867626
1/24/2022 7:08:39,30.4762001,4.007476807,20.31190491,10.17940521,10.09639549,32.52310562,1463.632813,50874.82422,25.86304744
1/24/2022 7:08:39,30.47511101,4.012084961,20.41646957,10.28396988,10.20010757,32.51718521,1463.646118,50865.53516,25.85837577
1/24/2022 7:08:39,30.47373772,4.01272583,20.50383568,10.37133598,10.28676128,32.51488876,1463.647339,50862.20313,25.85689548
1/24/2022 7:08:40,30.47463417,4.013336182,20.59149933,10.45899963,10.37370968,32.51528168,1463.651855,50862.71484,25.8575574
1/24/2022 7:08:40,30.47764778,4.013061523,20.69552994,10.56303024,10.47689152,32.51906967,1463.657349,50868.1875,25.86108185
1/24/2022 7:08:40,30.47466469,4.0128479,20.79236221,10.65986252,10.57293415,32.51570892,1463.653564,50863.55078,25.85888403
1/24/2022 7:08:40,30.47253418,4.013458252,20.89179993,10.75930023,10.67156124,32.5125351,1463.653809,50859.00781,25.85676573
1/24/2022 7:08:40,30.47047424,4.014953613,20.98643112,10.85393143,10.76542091,32.50857162,1463.656372,50853.14844,25.85391004
1/24/2022 7:08:40,30.47229195,4.014007568,21.08234978,10.94985008,10.86055756,32.51160431,1463.657715,50857.71094,25.85686234
1/24/2022 7:08:40,30.47410011,4.014556885,21.19195175,11.05945206,10.96926594,32.51313019,1463.66394,50859.83594,25.85853339
1/24/2022 7:08:40,30.47441864,4.013366699,21.29712296,11.16462326,11.07357883,32.51463699,1463.66272,50862.30078,25.8603401
1/24/2022 7:08:40,30.47421646,4.012634277,21.41788673,11.28538704,11.19335842,32.51506424,1463.661987,50863.14844,25.86131641
1/24/2022 7:08:41,30.47207451,4.013427734,21.54232025,11.40982056,11.31677723,32.51168823,1463.662964,50858.28906,25.85913618
1/24/2022 7:08:41,30.46866608,4.013275146,21.65765762,11.52515793,11.43117332,32.50775528,1463.659302,50852.84766,25.85656402
